Feature,Importance
cat__customer_city_paraju,0.0
cat__customer_city_paraisopolis,0.0
cat__customer_city_paraiso do tocantins,0.0
cat__customer_city_regente feijo,0.0
cat__customer_city_para de minas,0.0
cat__customer_city_paracambi,0.0
cat__customer_city_paracatu,0.0
cat__customer_city_paracuru,0.0
cat__customer_city_paragominas,0.0
cat__customer_city_paraguacu,0.0
cat__customer_city_paraguacu paulista,0.0
cat__customer_city_parai,0.0
cat__customer_city_renascenca,0.0
cat__customer_city_paraiba do sul,0.0
cat__customer_city_paraibano,0.0
cat__customer_city_paraibuna,0.0
cat__customer_city_paraipaba,0.0
cat__customer_city_paraiso,0.0
cat__customer_city_paraiso das aguas,0.0
cat__customer_city_paraiso do norte,0.0
cat__customer_city_remigio,0.0
cat__customer_city_remanso,0.0
cat__customer_city_registro,0.0
cat__customer_city_paraiso do sul,0.0
cat__customer_city_reginopolis,0.0
cat__customer_city_parauapebas,0.0
cat__customer_city_pardinho,0.0
cat__customer_city_rafard,0.0
cat__customer_city_pau brasil,0.0
cat__customer_city_pato bragado,0.0
cat__customer_city_pato branco,0.0
cat__customer_city_patos,0.0
cat__customer_city_patos de minas,0.0
cat__customer_city_patrocinio,0.0
cat__customer_city_patrocinio do muriae,0.0
cat__customer_city_patrocinio paulista,0.0
cat__customer_city_patu,0.0
cat__customer_city_paty do alferes,0.0
cat__customer_city_raposos,0.0
cat__customer_city_pau d'arco,0.0
cat__customer_city_pareci novo,0.0
cat__customer_city_pau dos ferros,0.0
cat__customer_city_raposo,0.0
cat__customer_city_paudalho,0.0
cat__customer_city_rancho queimado,0.0
cat__customer_city_rancho alegre,0.0
cat__customer_city_pauliceia,0.0
cat__customer_city_rancharia,0.0
cat__customer_city_quedas do iguacu,0.0
cat__customer_city_paulino neves,0.0
cat__customer_city_paulista,0.0
cat__customer_city_patis,0.0
cat__customer_city_pastos bons,0.0
cat__customer_city_raul soares,0.0
cat__customer_city_passos maia,0.0
cat__customer_city_redencao,0.0
cat__customer_city_parelhas,0.0
cat__customer_city_recreio,0.0
cat__customer_city_paripiranga,0.0
cat__customer_city_paripueira,0.0
cat__customer_city_pariquera-acu,0.0
